Date.Year,Data.Cases,Data.Deaths,Location.Country,Location.Code,Data.Population,Location.Continent
2020,432,39,Sweden,SWE,10230185,Europe
2020,17,0,Switzerland,CHE,8544527,Europe
2020,0,0,Syria,SYR,17070132,Asia
2020,0,0,Taiwan,CNG1925,23773881,Asia
2020,244,0,Tajikistan,TJK,9321023,Asia
2020,5,0,Thailand,THA,69625581,Asia
2020,0,0,Timor_Leste,TLS,1293120,Asia
2020,5,0,Togo,TGO,8082359,Africa
2020,1,0,Trinidad_and_Tobago,TTO,1394969,America
2020,5,0,Tunisia,TUN,11694721,Africa
2020,983,26,Turkey,TUR,82003882,Asia
2020,0,0,Turks_and_Caicos_islands,TCA,38194,America
2020,84,0,Uganda,UGA,44269587,Africa
2020,393,17,Ukraine,UKR,43993643,Europe
2020,726,2,United_Arab_Emirates,ARE,9770526,Asia
2020,1527,154,United_Kingdom,GBR,66647112,Europe
2020,0,0,United_Republic_of_Tanzania,TZA,58005461,Africa
2020,23297,945,United_States_of_America,USA,329064917,America
2020,0,0,United_States_Virgin_Islands,VIR,104579,America
2020,5,0,Uruguay,URY,3461731,America
2020,41,0,Uzbekistan,UZB,32981715,Asia
2020,90,0,Venezuela,VEN,28515829,America
2020,0,0,Vietnam,VNM,96462108,Asia
2020,0,0,Western_Sahara,ESH,582458,Africa
2020,23,11,Yemen,YEM,29161922,Asia
2020,0,0,Zambia,ZMB,17861034,Africa
2020,14,0,Zimbabwe,ZWE,14645473,Africa
2020,680,8,Afghanistan,AFG,38041757,Asia
2020,15,0,Albania,ALB,2862427,Europe
2020,127,7,Algeria,DZA,43053054,Africa
2020,0,0,Andorra,AND,76177,Europe
2020,2,0,Angola,AGO,31825299,Africa
2020,0,0,Anguilla,AIA,14872,America
2020,0,0,Antigua_and_Barbuda,ATG,97115,America
2020,637,11,Argentina,ARG,44780675,America
2020,210,8,Armenia,ARM,2957728,Europe
